"Notes"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"1983"	"1983"	191	1204064	15.9
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"1984"	"1984"	183	1230279	14.9
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"1985"	"1985"	210	1260948	16.7
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"1986"	"1986"	227	1291549	17.6
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	186	1313459	14.2
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"1988"	"1988"	211	1333672	15.8
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	212	1336826	15.9
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"1990"	"1990"	189	1339798	14.1
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"1991"	"1991"	171	1376295	12.4
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"1992"	"1992"	173	1408735	12.3
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"1993"	"1993"	215	1454362	14.8
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"1994"	"1994"	182	1519209	12.0
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	158	1580199	10.0
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"1996"	"1996"	184	1637490	11.2
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"1997"	"1997"	205	1683850	12.2
	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	"1998"	"1998"	184	1714847	10.7
	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"	"1979"	"1979"	25	206000	12.1
	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"	"1980"	"1980"	33	230563	14.3
	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"	"1981"	"1981"	27	247540	10.9
	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"	"1982"	"1982"	23	257411	8.9
	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"	"1983"	"1983"	36	267681	13.4
	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"	"1984"	"1984"	16	282050	5.7 (Unreliable)
	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"	"1985"	"1985"	39	301432	12.9
	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"	"1986"	"1986"	30	323555	9.3
	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"	"1987"	"1987"	29	346068	8.4
	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"	"1988"	"1988"	38	370643	10.3
	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"	"1989"	"1989"	36	390785	9.2
	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"	"1990"	"1990"	30	404675	7.4
	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"	"1991"	"1991"	24	415436	5.8
	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"	"1992"	"1992"	30	423753	7.1
	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"	"1993"	"1993"	38	434188	8.8
	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"	"1994"	"1994"	36	447552	8.0
	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"	"1995"	"1995"	37	464706	8.0
	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"	"1996"	"1996"	28	486253	5.8
	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"	"1997"	"1997"	36	509890	7.1
	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"	"1998"	"1998"	42	527324	8.0
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"1979"	"1979"	726	6824000	10.6
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"1980"	"1980"	701	6688217	10.5
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"1981"	"1981"	617	6391813	9.7
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"1982"	"1982"	598	6333206	9.4
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"1983"	"1983"	538	6363441	8.5
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"1984"	"1984"	537	6462341	8.3
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"1985"	"1985"	559	6574337	8.5
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"1986"	"1986"	496	6732733	7.4
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"1987"	"1987"	578	6852369	8.4
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"1988"	"1988"	600	6966508	8.6
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"1989"	"1989"	596	7018777	8.5
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"1990"	"1990"	516	7058274	7.3
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"1991"	"1991"	493	7130320	6.9
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"1992"	"1992"	442	7162539	6.2
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"1993"	"1993"	464	7211778	6.4
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"1994"	"1994"	459	7317770	6.3
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"1995"	"1995"	478	7440124	6.4
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"1996"	"1996"	505	7568233	6.7
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"1997"	"1997"	446	7691675	5.8
	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"1998"	"1998"	453	7764365	5.8
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"1979"	"1979"	474	1273000	37.2
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"1980"	"1980"	417	1262180	33.0
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"1981"	"1981"	356	1226540	29.0
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"1982"	"1982"	343	1222987	28.0
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"1983"	"1983"	303	1228006	24.7
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"1984"	"1984"	336	1254338	26.8
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"1985"	"1985"	319	1285238	24.8
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"1986"	"1986"	333	1317880	25.3
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"1987"	"1987"	331	1340273	24.7
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"1988"	"1988"	358	1362900	26.3
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"1989"	"1989"	343	1367987	25.1
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"1990"	"1990"	279	1371538	20.3
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"1991"	"1991"	291	1411196	20.6
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"1992"	"1992"	283	1446654	19.6
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"1993"	"1993"	271	1494226	18.1
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"1994"	"1994"	301	1562683	19.3
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"1995"	"1995"	267	1625589	16.4
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	286	1685189	17.0
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"1997"	"1997"	272	1734270	15.7
	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	"1998"	"1998"	309	1769019	17.5
	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"	"1979"	"1979"	47	212000	22.2
	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"	"1980"	"1980"	48	237934	20.2
	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"	"1981"	"1981"	49	255621	19.2
	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"	"1982"	"1982"	37	266298	13.9
	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"	"1983"	"1983"	46	276240	16.7
	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"	"1984"	"1984"	46	291468	15.8
	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"	"1985"	"1985"	62	310316	20.0
	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"	"1986"	"1986"	61	332803	18.3
	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"	"1987"	"1987"	52	355900	14.6
	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"	"1988"	"1988"	47	381391	12.3
	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"	"1989"	"1989"	52	402083	12.9
	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"	"1990"	"1990"	60	416467	14.4
	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"	"1991"	"1991"	46	429310	10.7
	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"	"1992"	"1992"	57	439549	13.0
	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"	"1993"	"1993"	53	452394	11.7
	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"	"1994"	"1994"	54	468177	11.5
	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"	"1995"	"1995"	50	488247	10.2
	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"	"1996"	"1996"	53	511235	10.4
	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"	"1997"	"1997"	60	535966	11.2
	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"	"1998"	"1998"	47	553749	8.5
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"1979"	"1979"	1387	7176000	19.3
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"1980"	"1980"	1215	7038966	17.3
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"1981"	"1981"	1178	6732304	17.5
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"1982"	"1982"	1066	6677456	16.0
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"1983"	"1983"	1053	6713819	15.7
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"1984"	"1984"	984	6817449	14.4
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"1985"	"1985"	995	6932586	14.4
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"1986"	"1986"	986	7099878	13.9
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"1987"	"1987"	1055	7222189	14.6
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"1988"	"1988"	1055	7344188	14.4
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"1989"	"1989"	1017	7400335	13.7
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"1990"	"1990"	877	7444026	11.8
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"1991"	"1991"	864	7518573	11.5
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"1992"	"1992"	811	7549874	10.7
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"1993"	"1993"	775	7599008	10.2
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"1994"	"1994"	745	7709288	9.7
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"1995"	"1995"	797	7839306	10.2
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"1996"	"1996"	738	7972130	9.3
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"1997"	"1997"	709	8098381	8.8
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"1998"	"1998"	701	8181024	8.6
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"1979"	"1979"	150	1347000	11.1
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"1980"	"1980"	166	1335911	12.4
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"1981"	"1981"	157	1334273	11.8
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"1982"	"1982"	141	1331260	10.6
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"1983"	"1983"	148	1322407	11.2
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"1984"	"1984"	155	1301455	11.9
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"1985"	"1985"	129	1285927	10.0
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"1986"	"1986"	131	1249764	10.5
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"1987"	"1987"	131	1243928	10.5
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"1988"	"1988"	193	1248903	15.5
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"1989"	"1989"	153	1275682	12.0
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"1990"	"1990"	167	1301212	12.8
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"1991"	"1991"	145	1357517	10.7
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"1992"	"1992"	170	1393716	12.2
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"1993"	"1993"	196	1428055	13.7
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"1994"	"1994"	192	1445863	13.3
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"1995"	"1995"	167	1458221	11.5
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"1996"	"1996"	145	1482057	9.8
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"1997"	"1997"	171	1506979	11.3
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"1998"	"1998"	129	1544543	8.4
	"10-14 years"	"10-14"	"Female"	"F"	"Other Race"	"2131-1"	"1979"	"1979"	18	202000	8.9 (Unreliable)
	"10-14 years"	"10-14"	"Female"	"F"	"Other Race"	"2131-1"	"1980"	"1980"	37	220807	16.8
	"10-14 years"	"10-14"	"Female"	"F"	"Other Race"	"2131-1"	"1981"	"1981"	25	249120	10.0
	"10-14 years"	"10-14"	"Female"	"F"	"Other Race"	"2131-1"	"1982"	"1982"	22	268918	8.2
	"10-14 years"	"10-14"	"Female"	"F"	"Other Race"	"2131-1"	"1983"	"1983"	18	284570	6.3 (Unreliable)
	"10-14 years"	"10-14"	"Female"	"F"	"Other Race"	"2131-1"	"1984"	"1984"	24	298228	8.0
	"10-14 years"	"10-14"	"Female"	"F"	"Other Race"	"2131-1"	"1985"	"1985"	35	309247	11.3
	"10-14 years"	"10-14"	"Female"	"F"	"Other Race"	"2131-1"	"1986"	"1986"	29	318440	9.1
	"10-14 years"	"10-14"	"Female"	"F"	"Other Race"	"2131-1"	"1987"	"1987"	28	326953	8.6
	"10-14 years"	"10-14"	"Female"	"F"	"Other Race"	"2131-1"	"1988"	"1988"	32	338686	9.4
	"10-14 years"	"10-14"	"Female"	"F"	"Other Race"	"2131-1"	"1989"	"1989"	34	355471	9.6
	"10-14 years"	"10-14"	"Female"	"F"	"Other Race"	"2131-1"	"1990"	"1990"	31	372989	8.3
	"10-14 years"	"10-14"	"Female"	"F"	"Other Race"	"2131-1"	"1991"	"1991"	24	403135	6.0
	"10-14 years"	"10-14"	"Female"	"F"	"Other Race"	"2131-1"	"1992"	"1992"	26	428384	6.1
	"10-14 years"	"10-14"	"Female"	"F"	"Other Race"	"2131-1"	"1993"	"1993"	37	455491	8.1
	"10-14 years"	"10-14"	"Female"	"F"	"Other Race"	"2131-1"	"1994"	"1994"	33	474679	7.0
	"10-14 years"	"10-14"	"Female"	"F"	"Other Race"	"2131-1"	"1995"	"1995"	44	489781	9.0
	"10-14 years"	"10-14"	"Female"	"F"	"Other Race"	"2131-1"	"1996"	"1996"	41	502472	8.2
	"10-14 years"	"10-14"	"Female"	"F"	"Other Race"	"2131-1"	"1997"	"1997"	47	512522	9.2
	"10-14 years"	"10-14"	"Female"	"F"	"Other Race"	"2131-1"	"1998"	"1998"	40	522994	7.6
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"1979"	"1979"	835	7482000	11.2
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"1980"	"1980"	762	7369190	10.3
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"1981"	"1981"	730	7365354	9.9
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"1982"	"1982"	701	7267060	9.6
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"1983"	"1983"	651	7122927	9.1
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"1984"	"1984"	691	6920449	10.0
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"1985"	"1985"	655	6713690	9.8
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"1986"	"1986"	631	6470841	9.8
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"1987"	"1987"	564	6416463	8.8
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"1988"	"1988"	617	6455884	9.6
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"1989"	"1989"	623	6559858	9.5
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"1990"	"1990"	594	6647468	8.9
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"1991"	"1991"	569	6898264	8.2
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"1992"	"1992"	570	7075192	8.1
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"1993"	"1993"	618	7245204	8.5
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"1994"	"1994"	624	7345293	8.5
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"1995"	"1995"	646	7418207	8.7
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"1996"	"1996"	638	7492096	8.5
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"1997"	"1997"	604	7537853	8.0
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"1998"	"1998"	619	7599325	8.1
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"1979"	"1979"	415	1362000	30.5
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"1980"	"1980"	383	1351353	28.3
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"1981"	"1981"	387	1352793	28.6
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"1982"	"1982"	350	1352570	25.9
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"1983"	"1983"	352	1345751	26.2
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"1984"	"1984"	366	1328039	27.6
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"1985"	"1985"	367	1313751	27.9
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"1986"	"1986"	379	1275973	29.7
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"1987"	"1987"	394	1271242	31.0
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"1988"	"1988"	366	1276758	28.7
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"1989"	"1989"	398	1302723	30.6
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"1990"	"1990"	387	1328261	29.1
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"1991"	"1991"	449	1387474	32.4
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"1992"	"1992"	419	1426559	29.4
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"1993"	"1993"	440	1464928	30.0
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"1994"	"1994"	443	1484466	29.8
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"1995"	"1995"	400	1498977	26.7
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"1996"	"1996"	354	1525160	23.2
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"1997"	"1997"	336	1552144	21.6
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"1998"	"1998"	350	1590753	22.0
	"10-14 years"	"10-14"	"Male"	"M"	"Other Race"	"2131-1"	"1979"	"1979"	53	211000	25.1
	"10-14 years"	"10-14"	"Male"	"M"	"Other Race"	"2131-1"	"1980"	"1980"	44	230818	19.1
	"10-14 years"	"10-14"	"Male"	"M"	"Other Race"	"2131-1"	"1981"	"1981"	57	261104	21.8
	"10-14 years"	"10-14"	"Male"	"M"	"Other Race"	"2131-1"	"1982"	"1982"	51	282081	18.1
	"10-14 years"	"10-14"	"Male"	"M"	"Other Race"	"2131-1"	"1983"	"1983"	48	298347	16.1
	"10-14 years"	"10-14"	"Male"	"M"	"Other Race"	"2131-1"	"1984"	"1984"	40	312127	12.8
	"10-14 years"	"10-14"	"Male"	"M"	"Other Race"	"2131-1"	"1985"	"1985"	49	324151	15.1
	"10-14 years"	"10-14"	"Male"	"M"	"Other Race"	"2131-1"	"1986"	"1986"	76	332883	22.8
	"10-14 years"	"10-14"	"Male"	"M"	"Other Race"	"2131-1"	"1987"	"1987"	74	342078	21.6
	"10-14 years"	"10-14"	"Male"	"M"	"Other Race"	"2131-1"	"1988"	"1988"	68	353524	19.2
	"10-14 years"	"10-14"	"Male"	"M"	"Other Race"	"2131-1"	"1989"	"1989"	66	371297	17.8
	"10-14 years"	"10-14"	"Male"	"M"	"Other Race"	"2131-1"	"1990"	"1990"	60	387948	15.5
	"10-14 years"	"10-14"	"Male"	"M"	"Other Race"	"2131-1"	"1991"	"1991"	59	417984	14.1
	"10-14 years"	"10-14"	"Male"	"M"	"Other Race"	"2131-1"	"1992"	"1992"	79	443123	17.8
	"10-14 years"	"10-14"	"Male"	"M"	"Other Race"	"2131-1"	"1993"	"1993"	78	470280	16.6
	"10-14 years"	"10-14"	"Male"	"M"	"Other Race"	"2131-1"	"1994"	"1994"	70	489644	14.3
	"10-14 years"	"10-14"	"Male"	"M"	"Other Race"	"2131-1"	"1995"	"1995"	75	505789	14.8
	"10-14 years"	"10-14"	"Male"	"M"	"Other Race"	"2131-1"	"1996"	"1996"	89	520059	17.1
	"10-14 years"	"10-14"	"Male"	"M"	"Other Race"	"2131-1"	"1997"	"1997"	68	532765	12.8
	"10-14 years"	"10-14"	"Male"	"M"	"Other Race"	"2131-1"	"1998"	"1998"	79	546461	14.5
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"1979"	"1979"	1963	7841000	25.0
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"1980"	"1980"	1841	7734050	23.8
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"1981"	"1981"	1761	7737763	22.8
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"1982"	"1982"	1619	7642689	21.2
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"1983"	"1983"	1574	7494524	21.0
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"1984"	"1984"	1556	7289977	21.3
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"1985"	"1985"	1586	7080667	22.4
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"1986"	"1986"	1530	6826333	22.4
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"1987"	"1987"	1497	6776182	22.1
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"1988"	"1988"	1405	6822482	20.6
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"1989"	"1989"	1359	6931805	19.6
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"1990"	"1990"	1289	7022591	18.4
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"1991"	"1991"	1360	7291581	18.7
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"1992"	"1992"	1274	7478789	17.0
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"1993"	"1993"	1317	7657445	17.2
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"1994"	"1994"	1334	7761341	17.2
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"1995"	"1995"	1370	7836074	17.5
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"1996"	"1996"	1236	7913265	15.6
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"1997"	"1997"	1229	7958434	15.4
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"1998"	"1998"	1151	8021105	14.3
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1979"	"1979"	449	1502000	29.9
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1980"	"1980"	384	1504109	25.5
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1981"	"1981"	335	1485022	22.6
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1982"	"1982"	364	1457700	25.0
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1983"	"1983"	344	1426935	24.1
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1984"	"1984"	319	1397957	22.8
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1985"	"1985"	314	1371236	22.9
