"Notes"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"1975"	"1975"	"Assault by poisoning"	"E962"	3	8847000	0.0 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"1975"	"1975"	"Assault by hanging and strangulation"	"E963"	46	8847000	0.5
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"1975"	"1975"	"Assault by submersion (drowning)"	"E964"	3	8847000	0.0 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"1975"	"1975"	"Assault by firearms and explosives"	"E965"	139	8847000	1.6
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"1975"	"1975"	"Assault by cutting and piercing instruments"	"E966"	51	8847000	0.6
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"1975"	"1975"	"Assault by other and unspecified means"	"E968"	38	8847000	0.4
"Total"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"1975"	"1975"			280	8847000	3.2
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"1976"	"1976"	"Assault by poisoning"	"E962"	1	8926000	0.0 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"1976"	"1976"	"Assault by hanging and strangulation"	"E963"	39	8926000	0.4
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"1976"	"1976"	"Assault by submersion (drowning)"	"E964"	6	8926000	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"1976"	"1976"	"Assault by firearms and explosives"	"E965"	120	8926000	1.3
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"1976"	"1976"	"Assault by cutting and piercing instruments"	"E966"	47	8926000	0.5
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"1976"	"1976"	"Assault by other and unspecified means"	"E968"	50	8926000	0.6
"Total"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"1976"	"1976"			263	8926000	2.9
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"1977"	"1977"	"Fight, brawl, rape"	"E960"	1	8903000	0.0 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"1977"	"1977"	"Assault by poisoning"	"E962"	4	8903000	0.0 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"1977"	"1977"	"Assault by hanging and strangulation"	"E963"	49	8903000	0.6
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"1977"	"1977"	"Assault by submersion (drowning)"	"E964"	2	8903000	0.0 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"1977"	"1977"	"Assault by firearms and explosives"	"E965"	116	8903000	1.3
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"1977"	"1977"	"Assault by cutting and piercing instruments"	"E966"	59	8903000	0.7
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"1977"	"1977"	"Assault by pushing from high place"	"E967"	1	8903000	0.0 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"1977"	"1977"	"Assault by other and unspecified means"	"E968"	44	8903000	0.5
"Total"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"1977"	"1977"			276	8903000	3.1
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"1978"	"1978"	"Assault by poisoning"	"E962"	2	8853000	0.0 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"1978"	"1978"	"Assault by hanging and strangulation"	"E963"	55	8853000	0.6
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"1978"	"1978"	"Assault by submersion (drowning)"	"E964"	1	8853000	0.0 (Unreliable)
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"1978"	"1978"	"Assault by firearms and explosives"	"E965"	141	8853000	1.6
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"1978"	"1978"	"Assault by cutting and piercing instruments"	"E966"	48	8853000	0.5
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"1978"	"1978"	"Assault by other and unspecified means"	"E968"	55	8853000	0.6
"Total"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"1978"	"1978"			302	8853000	3.4
"Total"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"					2515	93599090	2.7
"Total"	"15-19 years"	"15-19"	"Female"	"F"							4440	110136501	4.0
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1968"	"1968"	"Fight, brawl, rape"	"E960"	2	1114000	0.2 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1968"	"1968"	"Assault by poisoning"	"E962"	1	1114000	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1968"	"1968"	"Assault by hanging and strangulation"	"E963"	4	1114000	0.4 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1968"	"1968"	"Assault by firearms and explosives"	"E965"	429	1114000	38.5
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1968"	"1968"	"Assault by cutting and piercing instruments"	"E966"	116	1114000	10.4
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1968"	"1968"	"Assault by other and unspecified means"	"E968"	13	1114000	1.2 (Unreliable)
"Total"	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1968"	"1968"			565	1114000	50.7
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1969"	"1969"	"Fight, brawl, rape"	"E960"	2	1158000	0.2 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1969"	"1969"	"Assault by hanging and strangulation"	"E963"	3	1158000	0.3 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1969"	"1969"	"Assault by firearms and explosives"	"E965"	544	1158000	47.0
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1969"	"1969"	"Assault by cutting and piercing instruments"	"E966"	134	1158000	11.6
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1969"	"1969"	"Assault by other and unspecified means"	"E968"	11	1158000	0.9 (Unreliable)
"Total"	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1969"	"1969"			694	1158000	59.9
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1970"	"1970"	"Assault by poisoning"	"E962"	1	1201605	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1970"	"1970"	"Assault by hanging and strangulation"	"E963"	1	1201605	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1970"	"1970"	"Assault by submersion (drowning)"	"E964"	1	1201605	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1970"	"1970"	"Assault by firearms and explosives"	"E965"	575	1201605	47.9
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1970"	"1970"	"Assault by cutting and piercing instruments"	"E966"	136	1201605	11.3
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1970"	"1970"	"Assault by other and unspecified means"	"E968"	25	1201605	2.1
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1970"	"1970"	"Late effect of injury purposely inflicted by other person"	"E969"	1	1201605	0.1 (Unreliable)
"Total"	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1970"	"1970"			740	1201605	61.6
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1971"	"1971"	"Fight, brawl, rape"	"E960"	2	1259000	0.2 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1971"	"1971"	"Assault by corrosive or caustic substance, except poisoning"	"E961"	1	1259000	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1971"	"1971"	"Assault by hanging and strangulation"	"E963"	3	1259000	0.2 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1971"	"1971"	"Assault by firearms and explosives"	"E965"	616	1259000	48.9
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1971"	"1971"	"Assault by cutting and piercing instruments"	"E966"	135	1259000	10.7
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1971"	"1971"	"Assault by other and unspecified means"	"E968"	25	1259000	2.0
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1971"	"1971"	"Late effect of injury purposely inflicted by other person"	"E969"	1	1259000	0.1 (Unreliable)
"Total"	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1971"	"1971"			783	1259000	62.2
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1972"	"1972"	"Assault by hanging and strangulation"	"E963"	4	1312000	0.3 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1972"	"1972"	"Assault by firearms and explosives"	"E965"	622	1312000	47.4
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1972"	"1972"	"Assault by cutting and piercing instruments"	"E966"	114	1312000	8.7
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1972"	"1972"	"Assault by other and unspecified means"	"E968"	16	1312000	1.2 (Unreliable)
"Total"	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1972"	"1972"			756	1312000	57.6
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1973"	"1973"	"Fight, brawl, rape"	"E960"	1	1354000	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1973"	"1973"	"Assault by hanging and strangulation"	"E963"	1	1354000	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1973"	"1973"	"Assault by submersion (drowning)"	"E964"	1	1354000	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1973"	"1973"	"Assault by firearms and explosives"	"E965"	595	1354000	43.9
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1973"	"1973"	"Assault by cutting and piercing instruments"	"E966"	96	1354000	7.1
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1973"	"1973"	"Assault by other and unspecified means"	"E968"	24	1354000	1.8
"Total"	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1973"	"1973"			718	1354000	53.0
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1974"	"1974"	"Assault by poisoning"	"E962"	1	1395000	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1974"	"1974"	"Assault by hanging and strangulation"	"E963"	3	1395000	0.2 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1974"	"1974"	"Assault by firearms and explosives"	"E965"	609	1395000	43.7
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1974"	"1974"	"Assault by cutting and piercing instruments"	"E966"	141	1395000	10.1
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1974"	"1974"	"Assault by other and unspecified means"	"E968"	19	1395000	1.4 (Unreliable)
"Total"	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1974"	"1974"			773	1395000	55.4
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1975"	"1975"	"Fight, brawl, rape"	"E960"	2	1427000	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1975"	"1975"	"Assault by hanging and strangulation"	"E963"	5	1427000	0.4 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1975"	"1975"	"Assault by firearms and explosives"	"E965"	574	1427000	40.2
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1975"	"1975"	"Assault by cutting and piercing instruments"	"E966"	121	1427000	8.5
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1975"	"1975"	"Assault by other and unspecified means"	"E968"	17	1427000	1.2 (Unreliable)
"Total"	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1975"	"1975"			719	1427000	50.4
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1976"	"1976"	"Fight, brawl, rape"	"E960"	4	1457000	0.3 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1976"	"1976"	"Assault by hanging and strangulation"	"E963"	5	1457000	0.3 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1976"	"1976"	"Assault by firearms and explosives"	"E965"	506	1457000	34.7
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1976"	"1976"	"Assault by cutting and piercing instruments"	"E966"	111	1457000	7.6
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1976"	"1976"	"Assault by other and unspecified means"	"E968"	22	1457000	1.5
"Total"	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1976"	"1976"			648	1457000	44.5
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1977"	"1977"	"Fight, brawl, rape"	"E960"	1	1469000	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1977"	"1977"	"Assault by hanging and strangulation"	"E963"	7	1469000	0.5 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1977"	"1977"	"Assault by submersion (drowning)"	"E964"	1	1469000	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1977"	"1977"	"Assault by firearms and explosives"	"E965"	480	1469000	32.7
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1977"	"1977"	"Assault by cutting and piercing instruments"	"E966"	106	1469000	7.2
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1977"	"1977"	"Assault by other and unspecified means"	"E968"	19	1469000	1.3 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1977"	"1977"	"Late effect of injury purposely inflicted by other person"	"E969"	1	1469000	0.1 (Unreliable)
"Total"	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1977"	"1977"			615	1469000	41.9
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1978"	"1978"	"Assault by hanging and strangulation"	"E963"	1	1485000	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1978"	"1978"	"Assault by submersion (drowning)"	"E964"	1	1485000	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1978"	"1978"	"Assault by firearms and explosives"	"E965"	446	1485000	30.0
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1978"	"1978"	"Assault by cutting and piercing instruments"	"E966"	102	1485000	6.9
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1978"	"1978"	"Assault by other and unspecified means"	"E968"	12	1485000	0.8 (Unreliable)
"Total"	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1978"	"1978"			562	1485000	37.8
"Total"	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"					7573	14631605	51.8
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1968"	"1968"	"Assault by firearms and explosives"	"E965"	6	110000	5.5 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1968"	"1968"	"Assault by cutting and piercing instruments"	"E966"	1	110000	0.9 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1968"	"1968"	"Assault by other and unspecified means"	"E968"	2	110000	1.8 (Unreliable)
"Total"	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1968"	"1968"			9	110000	8.2 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1969"	"1969"	"Fight, brawl, rape"	"E960"	1	116000	0.9 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1969"	"1969"	"Assault by hanging and strangulation"	"E963"	1	116000	0.9 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1969"	"1969"	"Assault by firearms and explosives"	"E965"	8	116000	6.9 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1969"	"1969"	"Assault by cutting and piercing instruments"	"E966"	4	116000	3.4 (Unreliable)
"Total"	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1969"	"1969"			14	116000	12.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1970"	"1970"	"Assault by firearms and explosives"	"E965"	15	140972	10.6 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1970"	"1970"	"Assault by cutting and piercing instruments"	"E966"	5	140972	3.5 (Unreliable)
"Total"	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1970"	"1970"			20	140972	14.2
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1971"	"1971"	"Fight, brawl, rape"	"E960"	1	136000	0.7 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1971"	"1971"	"Assault by firearms and explosives"	"E965"	11	136000	8.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1971"	"1971"	"Assault by cutting and piercing instruments"	"E966"	3	136000	2.2 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1971"	"1971"	"Assault by other and unspecified means"	"E968"	1	136000	0.7 (Unreliable)
"Total"	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1971"	"1971"			16	136000	11.8 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1972"	"1972"	"Fight, brawl, rape"	"E960"	2	147000	1.4 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1972"	"1972"	"Assault by firearms and explosives"	"E965"	6	147000	4.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1972"	"1972"	"Assault by cutting and piercing instruments"	"E966"	10	147000	6.8 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1972"	"1972"	"Assault by other and unspecified means"	"E968"	2	147000	1.4 (Unreliable)
"Total"	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1972"	"1972"			20	147000	13.6
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1973"	"1973"	"Assault by submersion (drowning)"	"E964"	1	158000	0.6 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1973"	"1973"	"Assault by firearms and explosives"	"E965"	8	158000	5.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1973"	"1973"	"Assault by cutting and piercing instruments"	"E966"	9	158000	5.7 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1973"	"1973"	"Assault by other and unspecified means"	"E968"	3	158000	1.9 (Unreliable)
"Total"	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1973"	"1973"			21	158000	13.3
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1974"	"1974"	"Assault by hanging and strangulation"	"E963"	1	169000	0.6 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1974"	"1974"	"Assault by firearms and explosives"	"E965"	21	169000	12.4
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1974"	"1974"	"Assault by cutting and piercing instruments"	"E966"	8	169000	4.7 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1974"	"1974"	"Assault by other and unspecified means"	"E968"	4	169000	2.4 (Unreliable)
"Total"	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1974"	"1974"			34	169000	20.1
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1975"	"1975"	"Assault by firearms and explosives"	"E965"	13	184000	7.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1975"	"1975"	"Assault by cutting and piercing instruments"	"E966"	5	184000	2.7 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1975"	"1975"	"Assault by other and unspecified means"	"E968"	1	184000	0.5 (Unreliable)
"Total"	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1975"	"1975"			19	184000	10.3 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1976"	"1976"	"Assault by hanging and strangulation"	"E963"	1	197000	0.5 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1976"	"1976"	"Assault by firearms and explosives"	"E965"	18	197000	9.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1976"	"1976"	"Assault by cutting and piercing instruments"	"E966"	5	197000	2.5 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1976"	"1976"	"Assault by other and unspecified means"	"E968"	3	197000	1.5 (Unreliable)
"Total"	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1976"	"1976"			27	197000	13.7
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1977"	"1977"	"Assault by hanging and strangulation"	"E963"	1	206000	0.5 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1977"	"1977"	"Assault by firearms and explosives"	"E965"	21	206000	10.2
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1977"	"1977"	"Assault by cutting and piercing instruments"	"E966"	10	206000	4.9 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1977"	"1977"	"Assault by other and unspecified means"	"E968"	3	206000	1.5 (Unreliable)
"Total"	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1977"	"1977"			35	206000	17.0
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1978"	"1978"	"Assault by submersion (drowning)"	"E964"	1	217000	0.5 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1978"	"1978"	"Assault by firearms and explosives"	"E965"	21	217000	9.7
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1978"	"1978"	"Assault by cutting and piercing instruments"	"E966"	6	217000	2.8 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1978"	"1978"	"Assault by other and unspecified means"	"E968"	5	217000	2.3 (Unreliable)
"Total"	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	"1978"	"1978"			33	217000	15.2
"Total"	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"					248	1780972	13.9
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"1968"	"1968"	"Fight, brawl, rape"	"E960"	8	7953000	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"1968"	"1968"	"Assault by hanging and strangulation"	"E963"	6	7953000	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"1968"	"1968"	"Assault by firearms and explosives"	"E965"	274	7953000	3.4
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"1968"	"1968"	"Assault by cutting and piercing instruments"	"E966"	54	7953000	0.7
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"1968"	"1968"	"Assault by other and unspecified means"	"E968"	25	7953000	0.3
"Total"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"1968"	"1968"			367	7953000	4.6
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"1969"	"1969"	"Fight, brawl, rape"	"E960"	2	8113000	0.0 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"1969"	"1969"	"Assault by hanging and strangulation"	"E963"	6	8113000	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"1969"	"1969"	"Assault by submersion (drowning)"	"E964"	1	8113000	0.0 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"1969"	"1969"	"Assault by firearms and explosives"	"E965"	270	8113000	3.3
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"1969"	"1969"	"Assault by cutting and piercing instruments"	"E966"	62	8113000	0.8
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"1969"	"1969"	"Assault by other and unspecified means"	"E968"	23	8113000	0.3
"Total"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"1969"	"1969"			364	8113000	4.5
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"1970"	"1970"	"Fight, brawl, rape"	"E960"	5	8291270	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"1970"	"1970"	"Assault by poisoning"	"E962"	4	8291270	0.0 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"1970"	"1970"	"Assault by hanging and strangulation"	"E963"	7	8291270	0.1 (Unreliable)
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"1970"	"1970"	"Assault by firearms and explosives"	"E965"	303	8291270	3.7
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"1970"	"1970"	"Assault by cutting and piercing instruments"	"E966"	63	8291270	0.8
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"1970"	"1970"	"Assault by other and unspecified means"	"E968"	28	8291270	0.3
"Total"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"1970"	"1970"			410	8291270	4.9
