"Notes"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Race"	"Race Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"1-4 years"	"1-4"	"Male"	"M"	"1986"	"1986"	"Black or African American"	"2054-5"	"Other and unspecified firearm"	"E965.4"	11	1075699	1.0 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1986"	"1986"	"Black or African American"	"2054-5"	"Assault by cutting and piercing instrument"	"E966"	4	1075699	0.4 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1986"	"1986"	"Black or African American"	"2054-5"	"By parent"	"E967.0"	1	1075699	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1986"	"1986"	"Black or African American"	"2054-5"	"By other specified person"	"E967.1"	1	1075699	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1986"	"1986"	"Black or African American"	"2054-5"	"By unspecified person"	"E967.9"	22	1075699	2.0
	"1-4 years"	"1-4"	"Male"	"M"	"1986"	"1986"	"Black or African American"	"2054-5"	"Fire"	"E968.0"	7	1075699	0.7 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1986"	"1986"	"Black or African American"	"2054-5"	"Pushing from a high place"	"E968.1"	1	1075699	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1986"	"1986"	"Black or African American"	"2054-5"	"Striking by blunt or thrown object"	"E968.2"	4	1075699	0.4 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1986"	"1986"	"Black or African American"	"2054-5"	"Hot liquid"	"E968.3"	1	1075699	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1986"	"1986"	"Black or African American"	"2054-5"	"Other specified means"	"E968.8"	11	1075699	1.0 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1986"	"1986"	"Black or African American"	"2054-5"	"Unspecified means"	"E968.9"	25	1075699	2.3
"Total"	"1-4 years"	"1-4"	"Male"	"M"	"1986"	"1986"	"Black or African American"	"2054-5"			102	1075699	9.5
	"1-4 years"	"1-4"	"Male"	"M"	"1986"	"1986"	"Other Race"	"2131-1"	"Other and unspecified firearm"	"E965.4"	1	294075	0.3 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1986"	"1986"	"Other Race"	"2131-1"	"By unspecified person"	"E967.9"	3	294075	1.0 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1986"	"1986"	"Other Race"	"2131-1"	"Other specified means"	"E968.8"	2	294075	0.7 (Unreliable)
"Total"	"1-4 years"	"1-4"	"Male"	"M"	"1986"	"1986"	"Other Race"	"2131-1"			6	294075	2.0 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1986"	"1986"	"White"	"2106-3"	"Drugs and medicinal substances"	"E962.0"	1	5926574	0.0 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1986"	"1986"	"White"	"2106-3"	"Assault by hanging and strangulation"	"E963"	9	5926574	0.2 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1986"	"1986"	"White"	"2106-3"	"Assault by submersion (drowning)"	"E964"	4	5926574	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1986"	"1986"	"White"	"2106-3"	"Handgun"	"E965.0"	2	5926574	0.0 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1986"	"1986"	"White"	"2106-3"	"Shotgun"	"E965.1"	1	5926574	0.0 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1986"	"1986"	"White"	"2106-3"	"Hunting rifle"	"E965.2"	1	5926574	0.0 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1986"	"1986"	"White"	"2106-3"	"Other and unspecified firearm"	"E965.4"	9	5926574	0.2 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1986"	"1986"	"White"	"2106-3"	"Assault by cutting and piercing instrument"	"E966"	7	5926574	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1986"	"1986"	"White"	"2106-3"	"By parent"	"E967.0"	1	5926574	0.0 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1986"	"1986"	"White"	"2106-3"	"By other specified person"	"E967.1"	3	5926574	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1986"	"1986"	"White"	"2106-3"	"By unspecified person"	"E967.9"	30	5926574	0.5
	"1-4 years"	"1-4"	"Male"	"M"	"1986"	"1986"	"White"	"2106-3"	"Fire"	"E968.0"	9	5926574	0.2 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1986"	"1986"	"White"	"2106-3"	"Pushing from a high place"	"E968.1"	1	5926574	0.0 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1986"	"1986"	"White"	"2106-3"	"Striking by blunt or thrown object"	"E968.2"	3	5926574	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1986"	"1986"	"White"	"2106-3"	"Other specified means"	"E968.8"	12	5926574	0.2 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1986"	"1986"	"White"	"2106-3"	"Unspecified means"	"E968.9"	22	5926574	0.4
"Total"	"1-4 years"	"1-4"	"Male"	"M"	"1986"	"1986"	"White"	"2106-3"			115	5926574	1.9
"Total"	"1-4 years"	"1-4"	"Male"	"M"	"1986"	"1986"					223	7296348	3.1
	"1-4 years"	"1-4"	"Male"	"M"	"1987"	"1987"	"Black or African American"	"2054-5"	"Assault by hanging and strangulation"	"E963"	2	1085901	0.2 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1987"	"1987"	"Black or African American"	"2054-5"	"Assault by submersion (drowning)"	"E964"	1	1085901	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1987"	"1987"	"Black or African American"	"2054-5"	"Shotgun"	"E965.1"	4	1085901	0.4 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1987"	"1987"	"Black or African American"	"2054-5"	"Other and unspecified firearm"	"E965.4"	5	1085901	0.5 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1987"	"1987"	"Black or African American"	"2054-5"	"Assault by cutting and piercing instrument"	"E966"	1	1085901	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1987"	"1987"	"Black or African American"	"2054-5"	"By other specified person"	"E967.1"	1	1085901	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1987"	"1987"	"Black or African American"	"2054-5"	"By unspecified person"	"E967.9"	10	1085901	0.9 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1987"	"1987"	"Black or African American"	"2054-5"	"Fire"	"E968.0"	4	1085901	0.4 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1987"	"1987"	"Black or African American"	"2054-5"	"Striking by blunt or thrown object"	"E968.2"	2	1085901	0.2 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1987"	"1987"	"Black or African American"	"2054-5"	"Hot liquid"	"E968.3"	4	1085901	0.4 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1987"	"1987"	"Black or African American"	"2054-5"	"Criminal neglect"	"E968.4"	1	1085901	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1987"	"1987"	"Black or African American"	"2054-5"	"Other specified means"	"E968.8"	7	1085901	0.6 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1987"	"1987"	"Black or African American"	"2054-5"	"Unspecified means"	"E968.9"	11	1085901	1.0 (Unreliable)
"Total"	"1-4 years"	"1-4"	"Male"	"M"	"1987"	"1987"	"Black or African American"	"2054-5"			53	1085901	4.9
	"1-4 years"	"1-4"	"Male"	"M"	"1987"	"1987"	"Other Race"	"2131-1"	"Other and unspecified firearm"	"E965.4"	1	305903	0.3 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1987"	"1987"	"Other Race"	"2131-1"	"Assault by cutting and piercing instrument"	"E966"	1	305903	0.3 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1987"	"1987"	"Other Race"	"2131-1"	"Other specified means"	"E968.8"	1	305903	0.3 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1987"	"1987"	"Other Race"	"2131-1"	"Unspecified means"	"E968.9"	1	305903	0.3 (Unreliable)
"Total"	"1-4 years"	"1-4"	"Male"	"M"	"1987"	"1987"	"Other Race"	"2131-1"			4	305903	1.3 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1987"	"1987"	"White"	"2106-3"	"Other gases and vapors"	"E962.2"	5	5949926	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1987"	"1987"	"White"	"2106-3"	"Assault by hanging and strangulation"	"E963"	11	5949926	0.2 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1987"	"1987"	"White"	"2106-3"	"Assault by submersion (drowning)"	"E964"	2	5949926	0.0 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1987"	"1987"	"White"	"2106-3"	"Handgun"	"E965.0"	1	5949926	0.0 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1987"	"1987"	"White"	"2106-3"	"Shotgun"	"E965.1"	2	5949926	0.0 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1987"	"1987"	"White"	"2106-3"	"Other and unspecified firearm"	"E965.4"	9	5949926	0.2 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1987"	"1987"	"White"	"2106-3"	"Assault by cutting and piercing instrument"	"E966"	2	5949926	0.0 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1987"	"1987"	"White"	"2106-3"	"By other specified person"	"E967.1"	2	5949926	0.0 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1987"	"1987"	"White"	"2106-3"	"By unspecified person"	"E967.9"	27	5949926	0.5
	"1-4 years"	"1-4"	"Male"	"M"	"1987"	"1987"	"White"	"2106-3"	"Fire"	"E968.0"	7	5949926	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1987"	"1987"	"White"	"2106-3"	"Striking by blunt or thrown object"	"E968.2"	5	5949926	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1987"	"1987"	"White"	"2106-3"	"Criminal neglect"	"E968.4"	1	5949926	0.0 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1987"	"1987"	"White"	"2106-3"	"Other specified means"	"E968.8"	9	5949926	0.2 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1987"	"1987"	"White"	"2106-3"	"Unspecified means"	"E968.9"	23	5949926	0.4
	"1-4 years"	"1-4"	"Male"	"M"	"1987"	"1987"	"White"	"2106-3"	"Late effects of injury purposely inflicted by other person"	"E969"	1	5949926	0.0 (Unreliable)
"Total"	"1-4 years"	"1-4"	"Male"	"M"	"1987"	"1987"	"White"	"2106-3"			107	5949926	1.8
"Total"	"1-4 years"	"1-4"	"Male"	"M"	"1987"	"1987"					164	7341730	2.2
	"1-4 years"	"1-4"	"Male"	"M"	"1988"	"1988"	"Black or African American"	"2054-5"	"Assault by hanging and strangulation"	"E963"	4	1103169	0.4 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1988"	"1988"	"Black or African American"	"2054-5"	"Assault by submersion (drowning)"	"E964"	1	1103169	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1988"	"1988"	"Black or African American"	"2054-5"	"Handgun"	"E965.0"	2	1103169	0.2 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1988"	"1988"	"Black or African American"	"2054-5"	"Shotgun"	"E965.1"	1	1103169	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1988"	"1988"	"Black or African American"	"2054-5"	"Other and unspecified firearm"	"E965.4"	9	1103169	0.8 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1988"	"1988"	"Black or African American"	"2054-5"	"Gasoline bomb"	"E965.6"	1	1103169	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1988"	"1988"	"Black or African American"	"2054-5"	"Other specified explosive"	"E965.8"	1	1103169	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1988"	"1988"	"Black or African American"	"2054-5"	"Assault by cutting and piercing instrument"	"E966"	4	1103169	0.4 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1988"	"1988"	"Black or African American"	"2054-5"	"By other specified person"	"E967.1"	1	1103169	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1988"	"1988"	"Black or African American"	"2054-5"	"By unspecified person"	"E967.9"	21	1103169	1.9
	"1-4 years"	"1-4"	"Male"	"M"	"1988"	"1988"	"Black or African American"	"2054-5"	"Fire"	"E968.0"	14	1103169	1.3 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1988"	"1988"	"Black or African American"	"2054-5"	"Striking by blunt or thrown object"	"E968.2"	3	1103169	0.3 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1988"	"1988"	"Black or African American"	"2054-5"	"Hot liquid"	"E968.3"	1	1103169	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1988"	"1988"	"Black or African American"	"2054-5"	"Other specified means"	"E968.8"	6	1103169	0.5 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1988"	"1988"	"Black or African American"	"2054-5"	"Unspecified means"	"E968.9"	14	1103169	1.3 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1988"	"1988"	"Black or African American"	"2054-5"	"Late effects of injury purposely inflicted by other person"	"E969"	1	1103169	0.1 (Unreliable)
"Total"	"1-4 years"	"1-4"	"Male"	"M"	"1988"	"1988"	"Black or African American"	"2054-5"			84	1103169	7.6
	"1-4 years"	"1-4"	"Male"	"M"	"1988"	"1988"	"Other Race"	"2131-1"	"By other specified person"	"E967.1"	1	316315	0.3 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1988"	"1988"	"Other Race"	"2131-1"	"By unspecified person"	"E967.9"	1	316315	0.3 (Unreliable)
"Total"	"1-4 years"	"1-4"	"Male"	"M"	"1988"	"1988"	"Other Race"	"2131-1"			2	316315	0.6 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1988"	"1988"	"White"	"2106-3"	"Other gases and vapors"	"E962.2"	2	5968248	0.0 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1988"	"1988"	"White"	"2106-3"	"Assault by hanging and strangulation"	"E963"	11	5968248	0.2 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1988"	"1988"	"White"	"2106-3"	"Assault by submersion (drowning)"	"E964"	3	5968248	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1988"	"1988"	"White"	"2106-3"	"Handgun"	"E965.0"	4	5968248	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1988"	"1988"	"White"	"2106-3"	"Shotgun"	"E965.1"	1	5968248	0.0 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1988"	"1988"	"White"	"2106-3"	"Other and unspecified firearm"	"E965.4"	12	5968248	0.2 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1988"	"1988"	"White"	"2106-3"	"Assault by cutting and piercing instrument"	"E966"	3	5968248	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1988"	"1988"	"White"	"2106-3"	"By unspecified person"	"E967.9"	36	5968248	0.6
	"1-4 years"	"1-4"	"Male"	"M"	"1988"	"1988"	"White"	"2106-3"	"Fire"	"E968.0"	11	5968248	0.2 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1988"	"1988"	"White"	"2106-3"	"Striking by blunt or thrown object"	"E968.2"	4	5968248	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1988"	"1988"	"White"	"2106-3"	"Hot liquid"	"E968.3"	1	5968248	0.0 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1988"	"1988"	"White"	"2106-3"	"Criminal neglect"	"E968.4"	1	5968248	0.0 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1988"	"1988"	"White"	"2106-3"	"Other specified means"	"E968.8"	9	5968248	0.2 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1988"	"1988"	"White"	"2106-3"	"Unspecified means"	"E968.9"	33	5968248	0.6
"Total"	"1-4 years"	"1-4"	"Male"	"M"	"1988"	"1988"	"White"	"2106-3"			131	5968248	2.2
"Total"	"1-4 years"	"1-4"	"Male"	"M"	"1988"	"1988"					217	7387732	2.9
	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"Black or African American"	"2054-5"	"Drugs and medicinal substances"	"E962.0"	1	1134914	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"Black or African American"	"2054-5"	"Assault by hanging and strangulation"	"E963"	5	1134914	0.4 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"Black or African American"	"2054-5"	"Assault by submersion (drowning)"	"E964"	6	1134914	0.5 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"Black or African American"	"2054-5"	"Shotgun"	"E965.1"	1	1134914	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"Black or African American"	"2054-5"	"Other and unspecified firearm"	"E965.4"	10	1134914	0.9 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"Black or African American"	"2054-5"	"Assault by cutting and piercing instrument"	"E966"	1	1134914	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"Black or African American"	"2054-5"	"By parent"	"E967.0"	2	1134914	0.2 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"Black or African American"	"2054-5"	"By unspecified person"	"E967.9"	27	1134914	2.4
	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"Black or African American"	"2054-5"	"Fire"	"E968.0"	6	1134914	0.5 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"Black or African American"	"2054-5"	"Striking by blunt or thrown object"	"E968.2"	1	1134914	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"Black or African American"	"2054-5"	"Criminal neglect"	"E968.4"	2	1134914	0.2 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"Black or African American"	"2054-5"	"Other specified means"	"E968.8"	3	1134914	0.3 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"Black or African American"	"2054-5"	"Unspecified means"	"E968.9"	25	1134914	2.2
	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"Black or African American"	"2054-5"	"Late effects of injury purposely inflicted by other person"	"E969"	1	1134914	0.1 (Unreliable)
"Total"	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"Black or African American"	"2054-5"			91	1134914	8.0
	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"Other Race"	"2131-1"	"Assault by hanging and strangulation"	"E963"	1	331194	0.3 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"Other Race"	"2131-1"	"Other and unspecified firearm"	"E965.4"	2	331194	0.6 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"Other Race"	"2131-1"	"By unspecified person"	"E967.9"	1	331194	0.3 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"Other Race"	"2131-1"	"Criminal neglect"	"E968.4"	1	331194	0.3 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"Other Race"	"2131-1"	"Unspecified means"	"E968.9"	4	331194	1.2 (Unreliable)
"Total"	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"Other Race"	"2131-1"			9	331194	2.7 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"White"	"2106-3"	"Assault by hanging and strangulation"	"E963"	7	6030010	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"White"	"2106-3"	"Assault by submersion (drowning)"	"E964"	5	6030010	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"White"	"2106-3"	"Handgun"	"E965.0"	4	6030010	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"White"	"2106-3"	"Shotgun"	"E965.1"	2	6030010	0.0 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"White"	"2106-3"	"Hunting rifle"	"E965.2"	2	6030010	0.0 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"White"	"2106-3"	"Other and unspecified firearm"	"E965.4"	19	6030010	0.3 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"White"	"2106-3"	"Assault by cutting and piercing instrument"	"E966"	4	6030010	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"White"	"2106-3"	"By parent"	"E967.0"	1	6030010	0.0 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"White"	"2106-3"	"By unspecified person"	"E967.9"	26	6030010	0.4
	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"White"	"2106-3"	"Fire"	"E968.0"	6	6030010	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"White"	"2106-3"	"Striking by blunt or thrown object"	"E968.2"	5	6030010	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"White"	"2106-3"	"Criminal neglect"	"E968.4"	1	6030010	0.0 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"White"	"2106-3"	"Other specified means"	"E968.8"	10	6030010	0.2 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"White"	"2106-3"	"Unspecified means"	"E968.9"	22	6030010	0.4
	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"White"	"2106-3"	"Late effects of injury purposely inflicted by other person"	"E969"	1	6030010	0.0 (Unreliable)
"Total"	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"	"White"	"2106-3"			115	6030010	1.9
"Total"	"1-4 years"	"1-4"	"Male"	"M"	"1989"	"1989"					215	7496118	2.9
	"1-4 years"	"1-4"	"Male"	"M"	"1990"	"1990"	"Black or African American"	"2054-5"	"Assault by hanging and strangulation"	"E963"	11	1163852	0.9 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1990"	"1990"	"Black or African American"	"2054-5"	"Assault by submersion (drowning)"	"E964"	4	1163852	0.3 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1990"	"1990"	"Black or African American"	"2054-5"	"Handgun"	"E965.0"	1	1163852	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1990"	"1990"	"Black or African American"	"2054-5"	"Shotgun"	"E965.1"	1	1163852	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1990"	"1990"	"Black or African American"	"2054-5"	"Other and unspecified firearm"	"E965.4"	7	1163852	0.6 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1990"	"1990"	"Black or African American"	"2054-5"	"Assault by cutting and piercing instrument"	"E966"	4	1163852	0.3 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1990"	"1990"	"Black or African American"	"2054-5"	"By parent"	"E967.0"	1	1163852	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1990"	"1990"	"Black or African American"	"2054-5"	"By unspecified person"	"E967.9"	23	1163852	2.0
	"1-4 years"	"1-4"	"Male"	"M"	"1990"	"1990"	"Black or African American"	"2054-5"	"Fire"	"E968.0"	7	1163852	0.6 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1990"	"1990"	"Black or African American"	"2054-5"	"Pushing from a high place"	"E968.1"	1	1163852	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1990"	"1990"	"Black or African American"	"2054-5"	"Striking by blunt or thrown object"	"E968.2"	1	1163852	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1990"	"1990"	"Black or African American"	"2054-5"	"Hot liquid"	"E968.3"	3	1163852	0.3 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1990"	"1990"	"Black or African American"	"2054-5"	"Other specified means"	"E968.8"	8	1163852	0.7 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1990"	"1990"	"Black or African American"	"2054-5"	"Unspecified means"	"E968.9"	15	1163852	1.3 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1990"	"1990"	"Black or African American"	"2054-5"	"Late effects of injury purposely inflicted by other person"	"E969"	1	1163852	0.1 (Unreliable)
"Total"	"1-4 years"	"1-4"	"Male"	"M"	"1990"	"1990"	"Black or African American"	"2054-5"			88	1163852	7.6
	"1-4 years"	"1-4"	"Male"	"M"	"1990"	"1990"	"Other Race"	"2131-1"	"Assault by hanging and strangulation"	"E963"	1	345682	0.3 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1990"	"1990"	"Other Race"	"2131-1"	"Other and unspecified firearm"	"E965.4"	1	345682	0.3 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1990"	"1990"	"Other Race"	"2131-1"	"By other specified person"	"E967.1"	1	345682	0.3 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1990"	"1990"	"Other Race"	"2131-1"	"By unspecified person"	"E967.9"	5	345682	1.4 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1990"	"1990"	"Other Race"	"2131-1"	"Fire"	"E968.0"	1	345682	0.3 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1990"	"1990"	"Other Race"	"2131-1"	"Other specified means"	"E968.8"	1	345682	0.3 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1990"	"1990"	"Other Race"	"2131-1"	"Unspecified means"	"E968.9"	1	345682	0.3 (Unreliable)
"Total"	"1-4 years"	"1-4"	"Male"	"M"	"1990"	"1990"	"Other Race"	"2131-1"			11	345682	3.2 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1990"	"1990"	"White"	"2106-3"	"Assault by hanging and strangulation"	"E963"	8	6071090	0.1 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1990"	"1990"	"White"	"2106-3"	"Assault by submersion (drowning)"	"E964"	1	6071090	0.0 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1990"	"1990"	"White"	"2106-3"	"Handgun"	"E965.0"	2	6071090	0.0 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1990"	"1990"	"White"	"2106-3"	"Shotgun"	"E965.1"	2	6071090	0.0 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1990"	"1990"	"White"	"2106-3"	"Hunting rifle"	"E965.2"	2	6071090	0.0 (Unreliable)
	"1-4 years"	"1-4"	"Male"	"M"	"1990"	"1990"	"White"	"2106-3"	"Other and unspecified firearm"	"E965.4"	16	6071090	0.3 (Unreliable)
