"year","female","male","total","country_code"
1968,73.14,68.04,70.81,"deute"
1969,73.18,67.85,70.73,"deute"
1970,73.34,68.14,70.97,"deute"
1971,73.66,68.58,71.35,"deute"
1972,73.94,68.64,71.52,"deute"
1973,74.31,68.85,71.83,"deute"
1974,74.45,68.96,71.96,"deute"
1975,74.07,68.57,71.57,"deute"
1976,74.42,68.86,71.89,"deute"
1977,74.88,69.02,72.21,"deute"
1978,74.76,68.82,72.05,"deute"
1979,74.79,68.76,72.04,"deute"
1980,74.64,68.71,71.93,"deute"
1981,74.88,69,72.19,"deute"
1982,75.13,69.13,72.39,"deute"
1983,75.46,69.51,72.74,"deute"
1984,75.47,69.7,72.85,"deute"
1985,75.45,69.56,72.75,"deute"
1986,75.5,69.62,72.8,"deute"
1987,75.96,69.88,73.15,"deute"
1988,76.02,69.83,73.15,"deute"
1989,76.43,70.18,73.51,"deute"
1990,76.27,69.23,72.92,"deute"
1991,76.65,69.46,73.21,"deute"
1992,77.3,70.03,73.82,"deute"
1993,77.86,70.37,74.26,"deute"
1994,78.21,70.71,74.59,"deute"
1995,78.58,71.22,75.03,"deute"
1996,78.92,71.73,75.46,"deute"
1997,79.57,72.39,76.12,"deute"
1998,79.92,73.14,76.69,"deute"
1999,80.43,73.52,77.12,"deute"
2000,80.72,73.81,77.4,"deute"
2001,81.05,74.41,77.87,"deute"
2002,81.04,74.54,77.91,"deute"
2003,81.32,74.68,78.1,"deute"
2004,81.8,75.29,78.64,"deute"
2005,81.89,75.58,78.83,"deute"
2006,82.15,75.91,79.11,"deute"
2007,82.35,76.21,79.34,"deute"
2008,82.41,76.39,79.45,"deute"
2009,82.53,76.49,79.55,"deute"
2010,82.61,76.68,79.67,"deute"
2011,82.85,77.05,79.97,"deute"
1990,78.43,71.93,75.36,"deutnp"
1991,78.69,72.12,75.58,"deutnp"
1992,79.15,72.57,76.03,"deutnp"
1993,79.23,72.68,76.12,"deutnp"
1994,79.53,73,76.42,"deutnp"
1995,79.71,73.19,76.6,"deutnp"
1996,79.89,73.5,76.84,"deutnp"
1997,80.3,73.95,77.27,"deutnp"
1998,80.57,74.4,77.63,"deutnp"
1999,80.78,74.67,77.87,"deutnp"
2000,81.03,74.97,78.13,"deutnp"
2001,81.32,75.4,78.48,"deutnp"
2002,81.33,75.57,78.57,"deutnp"
2003,81.42,75.66,78.64,"deutnp"
2004,81.95,76.31,79.23,"deutnp"
2005,82.03,76.53,79.37,"deutnp"
2006,82.31,76.94,79.71,"deutnp"
2007,82.48,77.12,79.87,"deutnp"
2008,82.47,77.32,79.96,"deutnp"
2009,82.57,77.46,80.07,"deutnp"
2010,82.71,77.67,80.23,"deutnp"
2011,82.92,78.02,80.52,"deutnp"
1956,70.89,65.93,68.49,"deutw"
1957,71.06,65.82,68.53,"deutw"
1958,71.8,66.68,69.33,"deutw"
1959,72.03,66.78,69.51,"deutw"
1960,71.89,66.52,69.3,"deutw"
1961,72.45,66.97,69.82,"deutw"
1962,72.79,67.12,70.06,"deutw"
1963,72.75,67.06,70.01,"deutw"
1964,73.54,67.6,70.69,"deutw"
1965,73.41,67.59,70.63,"deutw"
1966,73.52,67.55,70.67,"deutw"
1967,73.81,67.74,70.91,"deutw"
1968,73.44,67.4,70.56,"deutw"
1969,73.37,67.15,70.39,"deutw"
1970,73.65,67.34,70.63,"deutw"
1971,73.85,67.47,70.8,"deutw"
1972,74.17,67.63,71.04,"deutw"
1973,74.39,67.86,71.27,"deutw"
1974,74.66,68.25,71.62,"deutw"
1975,74.66,68.07,71.53,"deutw"
1976,75.14,68.57,72.03,"deutw"
1977,75.85,69.21,72.72,"deutw"
1978,75.9,69.18,72.73,"deutw"
1979,76.33,69.66,73.19,"deutw"
1980,76.62,69.87,73.44,"deutw"
1981,76.8,70.14,73.67,"deutw"
1982,77.11,70.47,74,"deutw"
1983,77.37,70.73,74.26,"deutw"
1984,77.93,71.29,74.84,"deutw"
1985,78.06,71.49,75,"deutw"
1986,78.28,71.77,75.25,"deutw"
1987,78.73,72.14,75.66,"deutw"
1988,78.94,72.41,75.88,"deutw"
1989,79.03,72.58,76.01,"deutw"
1990,79.01,72.63,76.01,"deutw"
1991,79.24,72.79,76.19,"deutw"
1992,79.63,73.19,76.59,"deutw"
1993,79.56,73.24,76.57,"deutw"
1994,79.85,73.55,76.86,"deutw"
1995,79.99,73.66,76.98,"deutw"
1996,80.11,73.92,77.16,"deutw"
1997,80.47,74.33,77.55,"deutw"
1998,80.72,74.7,77.86,"deutw"
1999,80.87,74.95,78.05,"deutw"
2000,81.11,75.24,78.31,"deutw"
2001,81.38,75.64,78.64,"deutw"
2002,81.4,75.82,78.73,"deutw"
2003,81.45,75.9,78.77,"deutw"
2004,81.99,76.55,79.37,"deutw"
2005,82.06,76.75,79.5,"deutw"
2006,82.35,77.18,79.85,"deutw"
2007,82.51,77.34,80,"deutw"
2008,82.49,77.54,80.08,"deutw"
2009,82.58,77.69,80.19,"deutw"
2010,82.73,77.9,80.36,"deutw"
2011,82.94,78.25,80.64,"deutw"
1835,40.21,36.65,38.37,"dnk"
1836,41.6,38.43,39.98,"dnk"
1837,43.07,39.97,41.49,"dnk"
1838,44.37,41.87,43.1,"dnk"
1839,42.67,41.07,41.86,"dnk"
1840,42.34,39.81,41.05,"dnk"
1841,43.51,41.73,42.62,"dnk"
1842,44.06,40.98,42.49,"dnk"
1843,45.12,42.62,43.86,"dnk"
1844,45.15,42.92,44.03,"dnk"
1845,44.6,42.12,43.35,"dnk"
1846,41.62,39.16,40.38,"dnk"
1847,41.64,39.21,40.41,"dnk"
1848,42.28,39.3,40.76,"dnk"
1849,41.56,37.54,39.52,"dnk"
1850,45.14,41.86,43.47,"dnk"
1851,46.18,42.85,44.49,"dnk"
1852,44.38,41.66,43,"dnk"
1853,39.83,37.28,38.52,"dnk"
1854,46.23,43.15,44.67,"dnk"
1855,47.1,45.17,46.13,"dnk"
1856,47.82,45.66,46.74,"dnk"
1857,43.38,41.54,42.45,"dnk"
1858,41.03,38.98,39.99,"dnk"
1859,45.6,43.19,44.38,"dnk"
1860,45.94,44.19,45.05,"dnk"
1861,48.99,46.24,47.59,"dnk"
1862,48.48,46.65,47.56,"dnk"
1863,48.49,46.57,47.52,"dnk"
1864,41.44,38.94,40.17,"dnk"
1865,40.76,38.83,39.78,"dnk"
1866,43.61,42.15,42.88,"dnk"
1867,45.8,44.02,44.9,"dnk"
1868,46.42,44.8,45.61,"dnk"
1869,46.74,45.42,46.08,"dnk"
1870,46.95,45.02,45.97,"dnk"
1871,46.95,45.19,46.06,"dnk"
1872,48.1,46.75,47.41,"dnk"
1873,48.16,46.81,47.47,"dnk"
1874,47.37,44.71,46.01,"dnk"
1875,45.42,43.51,44.44,"dnk"
1876,46.8,44.87,45.82,"dnk"
1877,48.32,46.37,47.33,"dnk"
1878,48.31,46.78,47.54,"dnk"
1879,47.31,45.16,46.22,"dnk"
1880,45.72,43.82,44.76,"dnk"
1881,49.25,47.29,48.26,"dnk"
1882,47.59,45.75,46.67,"dnk"
1883,49.56,47.44,48.48,"dnk"
1884,49.35,47.66,48.49,"dnk"
1885,50.82,48.41,49.6,"dnk"
1886,49.77,48.13,48.95,"dnk"
1887,49.62,47.68,48.65,"dnk"
1888,47.6,45.72,46.66,"dnk"
1889,49.1,46.47,47.77,"dnk"
1890,48.41,46.08,47.24,"dnk"
1891,47.86,45.66,46.75,"dnk"
1892,48.82,45.98,47.38,"dnk"
1893,48.27,45.84,47.05,"dnk"
1894,50.53,48.19,49.36,"dnk"
1895,52.17,49.52,50.83,"dnk"
1896,54.53,51.29,52.89,"dnk"
1897,53.35,50.23,51.77,"dnk"
1898,54.57,51.62,53.09,"dnk"
1899,52.4,48.91,50.63,"dnk"
1900,53.54,50.22,51.87,"dnk"
1901,54.5,50.72,52.59,"dnk"
1902,56.2,53.13,54.66,"dnk"
1903,56.32,53.18,54.75,"dnk"
1904,57.42,53.98,55.68,"dnk"
1905,55.73,52.9,54.31,"dnk"
1906,58.01,54.97,56.49,"dnk"
1907,57.46,54.66,56.06,"dnk"
1908,56.33,53.48,54.91,"dnk"
1909,58.88,55.85,57.37,"dnk"
1910,59.64,56.42,58.03,"dnk"
1911,58.68,55.22,56.95,"dnk"
1912,59.37,56.66,58.01,"dnk"
1913,60.12,57.6,58.87,"dnk"
1914,60.11,56.8,58.45,"dnk"
1915,59.89,56.87,58.38,"dnk"
1916,58.56,55.3,56.93,"dnk"
1917,58.51,56.02,57.26,"dnk"
1918,57.34,55.19,56.28,"dnk"
1919,57.83,56.19,57,"dnk"
1920,58.33,56.77,57.55,"dnk"
1921,62.5,60.97,61.73,"dnk"
1922,61.34,59.89,60.59,"dnk"
1923,62.08,60.28,61.17,"dnk"
1924,62.11,60.18,61.12,"dnk"
1925,62.68,61.18,61.91,"dnk"
1926,62.55,60.81,61.67,"dnk"
1927,61.87,60.5,61.17,"dnk"
1928,62.8,60.97,61.87,"dnk"
1929,62.76,61.14,61.93,"dnk"
1930,63.24,61.32,62.27,"dnk"
1931,62.89,60.84,61.84,"dnk"
1932,63.45,61.97,62.7,"dnk"
1933,64.48,62.77,63.61,"dnk"
1934,65.18,63.04,64.09,"dnk"
1935,63.84,61.91,62.86,"dnk"
1936,64.57,62.41,63.47,"dnk"
1937,65.18,62.76,63.95,"dnk"
1938,66.06,63.92,64.98,"dnk"
1939,66.94,64.71,65.81,"dnk"
1940,67.21,65.3,66.25,"dnk"
1941,67.09,64.9,65.98,"dnk"
1942,68.15,66.12,67.13,"dnk"
1943,68.42,66.44,67.43,"dnk"
1944,67.38,65.39,66.38,"dnk"
1945,67.2,64.98,66.07,"dnk"
1946,68.12,66.31,67.21,"dnk"
1947,69.64,67.43,68.53,"dnk"
1948,71.48,68.75,70.11,"dnk"
1949,71.41,68.86,70.13,"dnk"
1950,71.52,69.1,70.3,"dnk"
1951,72.16,69.71,70.93,"dnk"
1952,72.16,69.4,70.77,"dnk"
1953,72.46,69.86,71.15,"dnk"
1954,72.81,69.9,71.34,"dnk"
1955,73.47,70.39,71.92,"dnk"
1956,73.71,70.4,72.04,"dnk"
1957,73.49,70.15,71.81,"dnk"
1958,74.03,70.48,72.24,"dnk"
1959,73.87,70.59,72.22,"dnk"
1960,73.99,70.44,72.2,"dnk"
1961,74.38,70.56,72.45,"dnk"
1962,74.43,70.3,72.34,"dnk"
1963,74.48,70.41,72.42,"dnk"
1964,74.79,70.29,72.51,"dnk"
1965,74.65,70.19,72.39,"dnk"
1966,74.79,70.21,72.46,"dnk"
1967,75.35,70.6,72.94,"dnk"
1968,75.58,70.78,73.15,"dnk"
1969,75.7,70.85,73.24,"dnk"
1970,75.93,70.88,73.37,"dnk"
1971,76.15,70.8,73.43,"dnk"
1972,76.2,70.8,73.45,"dnk"
1973,76.53,70.96,73.69,"dnk"
1974,76.82,70.94,73.82,"dnk"
1975,77,71.28,74.09,"dnk"
1976,76.7,70.93,73.76,"dnk"
1977,77.67,71.73,74.66,"dnk"
1978,77.42,71.51,74.42,"dnk"
1979,77.4,71.19,74.24,"dnk"
1980,77.18,71.17,74.13,"dnk"
1981,77.36,71.25,74.25,"dnk"
1982,77.64,71.6,74.59,"dnk"
1983,77.55,71.44,74.46,"dnk"
1984,77.62,71.65,74.61,"dnk"
1985,77.48,71.53,74.48,"dnk"
1986,77.53,71.77,74.63,"dnk"
1987,77.79,71.74,74.74,"dnk"
1988,77.63,72.04,74.84,"dnk"
1989,77.76,71.98,74.86,"dnk"
1990,77.73,72.02,74.86,"dnk"
1991,77.98,72.47,75.23,"dnk"
1992,77.96,72.56,75.26,"dnk"
1993,77.77,72.59,75.18,"dnk"
1994,78.09,72.78,75.44,"dnk"
1995,77.83,72.72,75.28,"dnk"
1996,78.26,73.05,75.66,"dnk"
1997,78.47,73.56,76.03,"dnk"
1998,78.88,73.94,76.44,"dnk"
1999,78.89,74.2,76.58,"dnk"
2000,79.12,74.44,76.81,"dnk"
2001,79.21,74.67,76.97,"dnk"
2002,79.34,74.8,77.09,"dnk"
2003,80.05,75.28,77.69,"dnk"
2004,79.8,75.14,77.49,"dnk"
2005,80.45,75.94,78.22,"dnk"
2006,80.51,75.89,78.22,"dnk"
2007,80.53,76.13,78.35,"dnk"
2008,80.92,76.48,78.72,"dnk"
2009,81.03,76.83,78.96,"dnk"
2010,81.33,77.12,79.24,"dnk"
2011,81.83,77.7,79.79,"dnk"
1908,42.27,40.41,41.33,"esp"
1909,42.05,39.9,40.96,"esp"
1910,41.97,39.65,40.78,"esp"
1911,40.69,38.77,39.7,"esp"
1912,44.39,42.51,43.43,"esp"
1913,43.47,41.54,42.49,"esp"
1914,43.68,41.87,42.75,"esp"
1915,43.9,42.09,42.97,"esp"
1916,44.88,42.96,43.9,"esp"
1917,43.53,41.6,42.54,"esp"
1918,30.69,29.82,30.25,"esp"
1919,42.26,39.9,41.06,"esp"
1920,40.35,38.14,39.22,"esp"
1921,43.19,40.75,41.95,"esp"
1922,45.38,42.92,44.13,"esp"
1923,45.97,43.45,44.69,"esp"
1924,47.73,44.78,46.23,"esp"
1925,48.4,45.41,46.88,"esp"
1926,49.22,46.22,47.7,"esp"
1927,49.95,46.93,48.42,"esp"
1928,50.1,47.15,48.61,"esp"
1929,51.1,47.79,49.43,"esp"
1930,51.13,47.46,49.26,"esp"
1931,50.96,47.42,49.16,"esp"
1932,52.82,49.45,51.12,"esp"
1933,53.24,49.84,51.53,"esp"
1934,54.04,50.33,52.17,"esp"
1935,54.59,50.72,52.64,"esp"
1936,55.53,46.84,50.96,"esp"
1937,52.22,42.87,47.28,"esp"
1938,52.15,43.44,47.58,"esp"
1939,51.79,43.09,47.21,"esp"
1940,52.45,44.71,48.44,"esp"
1941,51.42,43.41,47.19,"esp"
1942,55.55,49.48,52.48,"esp"
1943,57.57,52.06,54.83,"esp"
1944,59.2,53.25,56.22,"esp"
1945,60.57,54.98,57.79,"esp"
1946,60.57,54.47,57.5,"esp"
1947,61.79,56.69,59.27,"esp"
1948,63.84,58.51,61.22,"esp"
1949,63.52,58.33,60.96,"esp"
1950,64.23,59.35,61.84,"esp"
1951,63.79,59.05,61.45,"esp"
1952,67.05,62.57,64.88,"esp"
1953,67.89,63.47,65.74,"esp"
1954,69.1,64.65,66.95,"esp"
1955,68.94,64.36,66.71,"esp"
1956,69.04,64.39,66.77,"esp"
1957,68.92,64.18,66.61,"esp"
1958,71.07,66.39,68.8,"esp"
1959,71.07,66.23,68.71,"esp"
1960,71.65,66.66,69.22,"esp"
1961,71.97,67.09,69.6,"esp"
1962,72.07,67.07,69.63,"esp"
1963,72.36,67.12,69.79,"esp"
1964,73.13,67.77,70.51,"esp"
1965,73.56,68.17,70.93,"esp"
1966,73.78,68.45,71.17,"esp"
1967,74.06,68.56,71.36,"esp"
1968,74.35,68.84,71.65,"esp"
1969,73.88,68.35,71.16,"esp"
1970,74.86,69.31,72.14,"esp"
1971,74.55,68.84,71.73,"esp"
1972,75.63,70.14,72.94,"esp"
1973,75.51,69.83,72.72,"esp"
1974,75.93,70.17,73.1,"esp"
1975,76.33,70.52,73.48,"esp"
1976,76.7,70.8,73.8,"esp"
1977,77.21,71.27,74.29,"esp"
1978,77.46,71.41,74.48,"esp"
1979,78.04,71.83,74.98,"esp"
1980,78.55,72.39,75.52,"esp"
1981,78.76,72.52,75.69,"esp"
1982,79.34,73.16,76.31,"esp"
1983,79.12,72.95,76.09,"esp"
1984,79.67,73.19,76.47,"esp"
1985,79.65,73.08,76.4,"esp"
1986,79.89,73.43,76.7,"esp"
1987,80.22,73.59,76.95,"esp"
1988,80.28,73.55,76.94,"esp"
1989,80.49,73.46,76.99,"esp"
1990,80.55,73.42,76.99,"esp"
1991,80.74,73.5,77.12,"esp"
1992,81.25,73.9,77.58,"esp"
1993,81.32,74.1,77.72,"esp"
1994,81.71,74.49,78.11,"esp"
1995,81.84,74.56,78.2,"esp"
1996,82,74.68,78.34,"esp"
1997,82.35,75.32,78.85,"esp"
1998,82.42,75.45,78.94,"esp"
1999,82.44,75.46,78.95,"esp"
2000,82.85,75.97,79.42,"esp"
2001,83.17,76.3,79.75,"esp"
2002,83.25,76.41,79.84,"esp"
2003,83.08,76.43,79.76,"esp"
2004,83.66,76.99,80.34,"esp"
2005,83.62,77.04,80.33,"esp"
2006,84.22,77.71,80.98,"esp"
2007,84.18,77.78,80.99,"esp"
2008,84.36,78.21,81.31,"esp"
2009,84.65,78.59,81.65,"esp"
2010,85.01,79.01,82.04,"esp"
2011,85.1,79.26,82.21,"esp"
2012,85.07,79.33,82.23,"esp"
1959,71.93,64.36,68.62,"est"
1960,73.02,64.68,69.33,"est"
1961,73.29,65.09,69.65,"est"
1962,73.16,65.58,69.83,"est"
1963,73.55,65.31,69.89,"est"
1964,74.04,66.3,70.65,"est"
1965,74.24,66.29,70.71,"est"
1966,74.29,66.22,70.67,"est"
1967,74.72,66.35,70.99,"est"
1968,74.46,65.91,70.61,"est"
1969,74.43,65.37,70.27,"est"
1970,74.55,65.5,70.39,"est"
1971,74.79,65.69,70.6,"est"
1972,74.64,65.43,70.38,"est"
1973,74.66,66.01,70.7,"est"
1974,75.06,65.85,70.81,"est"
1975,74.75,64.91,70.12,"est"
1976,74.4,64.52,69.74,"est"
1977,74.49,64.65,69.83,"est"
1978,74.54,64.31,69.66,"est"
1979,74.21,64.15,69.4,"est"
1980,74.28,64.21,69.47,"est"
1981,74.13,64.1,69.32,"est"
1982,74.72,64.58,69.86,"est"
1983,74.83,64.35,69.78,"est"
1984,74.28,64.6,69.64,"est"
1985,74.48,64.66,69.77,"est"
1986,75.1,66.17,70.91,"est"
1987,75.05,66.29,70.92,"est"
1988,75.01,66.44,70.97,"est"
1989,74.9,65.7,70.5,"est"
1990,74.89,64.67,69.89,"est"
1991,74.96,64.41,69.76,"est"
1992,74.75,63.42,69.12,"est"
1993,74.03,62.33,68.13,"est"
1994,72.95,60.64,66.64,"est"
1995,74.29,61.37,67.68,"est"
1996,75.52,64.16,69.87,"est"
1997,75.85,64.22,70.06,"est"
1998,75.35,63.92,69.63,"est"
1999,75.99,64.76,70.43,"est"
2000,76.18,65.19,70.76,"est"
2001,76.4,64.76,70.6,"est"
2002,77.11,65.19,71.16,"est"
2003,77.21,66.12,71.75,"est"
2004,77.9,66.42,72.22,"est"
2005,78.26,67.3,72.9,"est"
2006,78.57,67.39,73.09,"est"
2007,78.76,67.23,73.08,"est"
2008,79.39,68.66,74.19,"est"
2009,80.02,69.75,75.1,"est"
2010,80.5,70.6,75.8,"est"
2011,80.99,71.09,76.3,"est"
1878,40.08,38.21,39.15,"fin"
1879,46.09,43.74,44.92,"fin"
1880,41.11,38.19,39.64,"fin"
1881,38.94,36.32,37.62,"fin"
1882,41.9,38.93,40.4,"fin"
1883,44.33,41.08,42.69,"fin"
1884,44.4,41.23,42.8,"fin"
1885,42.47,40.02,41.25,"fin"
1886,42.24,39.41,40.81,"fin"
1887,46.67,44.36,45.52,"fin"
1888,46.26,43.92,45.09,"fin"
1889,46.33,43.46,44.89,"fin"
1890,46.11,43.04,44.56,"fin"
1891,43.9,41.18,42.53,"fin"
1892,41.28,38.16,39.69,"fin"
1893,44.96,41.71,43.31,"fin"
1894,46.39,43.97,45.18,"fin"
1895,49.23,45.97,47.58,"fin"
1896,47.74,45.25,46.5,"fin"
1897,49.42,46.76,48.09,"fin"
1898,49.3,46.71,48,"fin"
1899,45.62,43.05,44.33,"fin"
1900,43.18,40.34,41.74,"fin"
1901,44.13,41.5,42.8,"fin"
1902,47.53,44.83,46.17,"fin"
1903,48.05,45.14,46.59,"fin"
1904,48.41,45.91,47.16,"fin"
1905,47.55,44.45,45.99,"fin"
1906,48.67,45.39,47.02,"fin"
1907,48.57,45.32,46.93,"fin"
1908,47.66,44.5,46.06,"fin"
1909,50.12,47.14,48.63,"fin"
1910,49.9,47.07,48.49,"fin"
1911,50.4,46.99,48.68,"fin"
1912,50.74,47.45,49.08,"fin"
1913,50.75,47.28,49.01,"fin"
1914,51.28,48.11,49.69,"fin"
1915,51.08,47.93,49.5,"fin"
1916,49.73,46.3,48,"fin"
1917,48.33,44.66,46.47,"fin"
1918,43.59,26.32,32.79,"fin"
1919,45.58,40.63,43.05,"fin"
1920,49.91,45.21,47.53,"fin"
1921,54.75,50.03,52.37,"fin"
1922,54.15,49.66,51.89,"fin"
1923,54.93,50.08,52.49,"fin"
1924,52.64,47.79,50.18,"fin"
1925,55.98,50.84,53.39,"fin"
1926,56.25,51.37,53.8,"fin"
1927,54.4,49.32,51.83,"fin"
1928,56.18,51.21,53.68,"fin"
1929,53.82,48.73,51.25,"fin"
1930,57.03,51.9,54.45,"fin"
1931,57.27,52.46,54.86,"fin"
1932,58.23,53.31,55.77,"fin"
1933,58.17,52.73,55.43,"fin"
1934,58.69,53.37,56.02,"fin"
1935,59.94,54.77,57.36,"fin"
1936,58.5,53.8,56.15,"fin"
1937,59.82,54.39,57.1,"fin"
1938,59.75,54.66,57.2,"fin"
1939,59.8,50.04,54.64,"fin"
1940,57.86,38.58,46.6,"fin"
1941,60.77,37.1,46.5,"fin"
1942,61.53,47.42,53.96,"fin"
1943,61.94,51.06,56.3,"fin"
1944,59.19,39.48,48.04,"fin"
1945,61.14,53.27,57.17,"fin"
1946,64.38,56.12,60.24,"fin"
1947,64.57,56.42,60.49,"fin"
1948,65.98,57.92,61.97,"fin"
1949,66.12,57.63,61.86,"fin"
1950,67.92,60.37,64.2,"fin"
1951,68.84,62.25,65.64,"fin"
1952,69.49,63.35,66.53,"fin"
1953,69.75,63.24,66.59,"fin"
1954,70.65,64.22,67.54,"fin"
1955,70.66,63.84,67.35,"fin"
1956,71.17,64.57,67.98,"fin"
1957,70.6,64.12,67.46,"fin"
1958,71.71,65.28,68.6,"fin"
1959,72.16,65.24,68.79,"fin"
1960,72.39,65.4,68.99,"fin"
1961,72.24,65.61,69.01,"fin"
1962,72.24,65.09,68.73,"fin"
1963,72.68,65.51,69.17,"fin"
1964,72.96,65.65,69.38,"fin"
1965,72.85,65.29,69.12,"fin"
1966,73.17,65.96,69.64,"fin"
1967,73.59,65.92,69.82,"fin"
1968,73.56,65.87,69.77,"fin"
1969,73.56,65.63,69.64,"fin"
1970,74.4,66.16,70.32,"fin"
1971,74.31,65.91,70.14,"fin"
1972,75.02,66.6,70.86,"fin"
1973,75.68,66.97,71.37,"fin"
1974,75.55,66.93,71.28,"fin"
1975,76.14,67.42,71.83,"fin"
1976,76.32,67.53,71.98,"fin"
1977,76.95,67.96,72.51,"fin"
1978,77.42,68.58,73.08,"fin"
1979,77.54,68.97,73.35,"fin"
1980,77.85,69.24,73.64,"fin"
1981,78.1,69.61,73.96,"fin"
1982,78.59,70.22,74.53,"fin"
1983,78.36,70.24,74.43,"fin"
1984,78.76,70.48,74.74,"fin"
1985,78.51,70.14,74.42,"fin"
1986,78.76,70.56,74.76,"fin"
1987,78.71,70.67,74.79,"fin"
1988,78.69,70.66,74.76,"fin"
1989,78.9,70.87,74.97,"fin"
1990,78.88,70.94,74.98,"fin"
1991,79.32,71.33,75.4,"fin"
1992,79.44,71.67,75.64,"fin"
1993,79.47,72.11,75.88,"fin"
1994,80.15,72.8,76.57,"fin"
1995,80.21,72.81,76.59,"fin"
1996,80.55,73.03,76.87,"fin"
1997,80.51,73.43,77.06,"fin"
1998,80.84,73.51,77.26,"fin"
1999,81.02,73.74,77.45,"fin"
2000,81.02,74.15,77.67,"fin"
2001,81.53,74.57,78.14,"fin"
2002,81.53,74.86,78.27,"fin"
2003,81.81,75.13,78.53,"fin"
2004,82.27,75.3,78.84,"fin"
2005,82.29,75.53,78.97,"fin"
2006,82.82,75.81,79.37,"fin"
2007,82.86,75.86,79.39,"fin"
2008,83.01,76.32,79.7,"fin"
2009,83.14,76.51,79.86,"fin"
1816,41.07,39.03,40.05,"fracnp"
1817,40.19,38.21,39.18,"fracnp"
1818,39.06,38.08,38.55,"fracnp"
1819,37.9,36.7,37.28,"fracnp"
1820,39.94,38.57,39.23,"fracnp"
1821,40.39,39.33,39.84,"fracnp"
1822,38.99,37.67,38.31,"fracnp"
1823,40.78,39.24,39.99,"fracnp"
1824,39.92,38.45,39.16,"fracnp"
1825,39.03,38.09,38.53,"fracnp"
1826,38.29,37.27,37.76,"fracnp"
1827,40.1,38.67,39.36,"fracnp"
1828,38.27,36.89,37.56,"fracnp"
1829,40.24,38.61,39.4,"fracnp"
1830,40.33,38.88,39.59,"fracnp"
1831,40.54,38.91,39.69,"fracnp"
1832,36.5,35.22,35.83,"fracnp"
1833,39.56,38.18,38.84,"fracnp"
1834,35.76,34.37,35.04,"fracnp"
1835,40.42,38.59,39.48,"fracnp"
1836,42.76,41.2,41.96,"fracnp"
1837,39.97,38.83,39.38,"fracnp"
1838,39.97,38.71,39.33,"fracnp"
1839,41.53,40.33,40.92,"fracnp"
1840,41.14,39.65,40.38,"fracnp"
1841,41.74,39.67,40.68,"fracnp"
1842,40.88,39.15,39.99,"fracnp"
1843,41.39,40.14,40.76,"fracnp"
1844,42.94,41.68,42.3,"fracnp"
1845,44.19,42.97,43.58,"fracnp"
1846,41.29,40.05,40.66,"fracnp"
1847,41.18,39.67,40.42,"fracnp"
1848,41.1,39.51,40.29,"fracnp"
1849,36.67,35.2,35.92,"fracnp"
1850,43.97,42.6,43.28,"fracnp"
1851,42.37,41.17,41.77,"fracnp"
1852,41.92,40.72,41.31,"fracnp"
1853,43.21,41.86,42.52,"fracnp"
1854,36.98,35.32,36.13,"fracnp"
1855,39.46,35.77,37.53,"fracnp"
1856,41.28,39.09,40.15,"fracnp"
1857,40.12,39.02,39.56,"fracnp"
1858,40.02,39.33,39.67,"fracnp"
1859,35.88,34.69,35.27,"fracnp"
1860,43.84,42.82,43.32,"fracnp"
1861,40.88,39.98,40.42,"fracnp"
1862,43.29,42.08,42.67,"fracnp"
1863,42.35,41.1,41.72,"fracnp"
1864,42.7,41.28,41.97,"fracnp"
1865,40.86,39.42,40.12,"fracnp"
1866,42.55,41.09,41.81,"fracnp"
1867,43.12,41.55,42.32,"fracnp"
1868,41.11,39.35,40.21,"fracnp"
1869,42.13,40.18,41.13,"fracnp"
1870,38.34,34.63,36.39,"fracnp"
1871,32.42,27.19,29.58,"fracnp"
1872,43.75,41.57,42.63,"fracnp"
1873,42.72,40.86,41.76,"fracnp"
1874,45.29,43.37,44.3,"fracnp"
1875,44.05,42.26,43.12,"fracnp"
1876,44.65,42.45,43.51,"fracnp"
1877,45.31,43.32,44.29,"fracnp"
1878,44.37,42.31,43.31,"fracnp"
1879,45.07,42.89,43.95,"fracnp"
1880,43.72,41.73,42.69,"fracnp"
1881,44.66,42.38,43.49,"fracnp"
1882,44.37,41.87,43.08,"fracnp"
1883,44.5,41.99,43.21,"fracnp"
1884,43.75,41.19,42.43,"fracnp"
1885,45.24,42.63,43.9,"fracnp"
1886,44.43,41.84,43.1,"fracnp"
1887,44.96,42.47,43.69,"fracnp"
1888,45.61,42.62,44.07,"fracnp"
1889,46.93,44.12,45.49,"fracnp"
1890,44.73,41.98,43.32,"fracnp"
1891,45.52,42.7,44.07,"fracnp"
1892,44.98,42.12,43.51,"fracnp"
1893,45.11,42.01,43.51,"fracnp"
1894,47.12,43.88,45.45,"fracnp"
1895,46.79,43.57,45.13,"fracnp"
1896,49.13,45.95,47.49,"fracnp"
1897,49.54,46.27,47.86,"fracnp"
1898,47.61,44.31,45.92,"fracnp"
1899,46.93,43.45,45.15,"fracnp"
1900,46.87,43.24,45.01,"fracnp"
1901,48.8,45.16,46.93,"fracnp"
1902,49.74,46.25,47.96,"fracnp"
1903,50.09,46.73,48.37,"fracnp"
1904,49.75,46.39,48.03,"fracnp"
1905,50.2,46.49,48.3,"fracnp"
1906,49.63,45.84,47.68,"fracnp"
